metric_name,metric_display,metric_kind,metric_type,metric_ unit,metric_resource,metric_description
gcp.cloudiot.device.active_devices,Active devices,GAUGE,INT64,1,cloudiot_device_registry,"Count of the number of devices that have recently sent data to Cloud IoT Core. Sampled every 60 seconds. After sampling, data is not visible for up to 180 seconds."
gcp.cloudiot.device.billing_bytes_count,Billable bytes transferred,GAUGE,INT64,By,cloudiot_device_registry,"Count of the number of billable bytes transferred by devices. Sampled every 60 seconds. After sampling, data is not visible for up to 180 seconds."
gcp.cloudiot.device.error_count,Errors communicating with devices,DELTA,INT64,1,cloudiot_device_registry,"Delta count of errors communicating with devices, grouped by error type. Sampled every 60 seconds. After sampling, data is not visible for up to 180 seconds."
gcp.cloudiot.device.operation_count,Operations,DELTA,INT64,1,cloudiot_device_registry,"Delta count of operations performed, grouped by operation type. Sampled every 60 seconds. After sampling, data is not visible for up to 180 seconds."
gcp.cloudiot.device.received_bytes_count,Bytes received by devices,DELTA,INT64,By,cloudiot_device_registry,"Delta count of number of bytes received from devices. Sampled every 60 seconds. After sampling, data is not visible for up to 180 seconds."
gcp.cloudiot.device.sent_bytes_count,Bytes sent to devices,DELTA,INT64,By,cloudiot_device_registry,"Delta count of number of bytes sent by devices. Sampled every 60 seconds. After sampling, data is not visible for up to 180 seconds."
