metric_name,metric_display,metric_kind,metric_type,metric_ unit,metric_resource,metric_description
gcp.pubsub.subscription.oldest_unacked_message_age_by_region,Oldest unacked message age by region,GAUGE,INT64,s,pubsub_subscription,"Age (in seconds) of the oldest unacknowledged message in a subscription, broken down by Cloud region. Sampled every 60 seconds. After sampling, data is not visible for up to 120 seconds."
gcp.pubsub.subscription.pull_ack_message_operation_count,Acknowledge message operations,DELTA,INT64,1,pubsub_subscription,"Cumulative count of acknowledge message operations, grouped by result. For a definition of message operations, see Cloud Pub/Sub metric subscription/mod_ack_deadline_message_operation_count. Sampled every 60 seconds. After sampling, data is not visible for up to 240 seconds."
gcp.pubsub.subscription.pull_ack_request_count,Acknowledge requests,DELTA,INT64,1,pubsub_subscription,"Cumulative count of acknowledge requests, grouped by result. Sampled every 60 seconds. After sampling, data is not visible for up to 120 seconds."
gcp.pubsub.subscription.pull_message_operation_count,Pull operations,DELTA,INT64,1,pubsub_subscription,"Cumulative count of pull message operations, grouped by result. For a definition of message operations, see Cloud Pub/Sub metric subscription/mod_ack_deadline_message_operation_count. Sampled every 60 seconds. After sampling, data is not visible for up to 240 seconds."
gcp.pubsub.subscription.pull_request_count,Pull requests,DELTA,INT64,1,pubsub_subscription,"Cumulative count of pull requests, grouped by result. Sampled every 60 seconds. After sampling, data is not visible for up to 120 seconds."
gcp.pubsub.subscription.push_request_count,Push requests,DELTA,INT64,1,pubsub_subscription,"Cumulative count of push attempts, grouped by result. Unlike pulls, the push server implementation does not batch user messages. So each request only contains one user message. The push server retries on errors, so a given user message can appear multiple times. Sampled every 60 seconds. After sampling, data is not visible for up to 120 seconds."
gcp.pubsub.subscription.push_request_latencies,Push latency,DELTA,DISTRIBUTION,us,pubsub_subscription,"Distribution of push request latencies (in microseconds), grouped by result. Sampled every 60 seconds. After sampling, data is not visible for up to 240 seconds."
gcp.pubsub.subscription.retained_acked_bytes,Retained acked bytes,GAUGE,INT64,By,pubsub_subscription,"Total byte size of the acknowledged messages retained in a subscription. Sampled every 60 seconds. After sampling, data is not visible for up to 120 seconds."
gcp.pubsub.subscription.retained_acked_bytes_by_region,Retained acked bytes by region,GAUGE,INT64,By,pubsub_subscription,"Total byte size of the acknowledged messages retained in a subscription, broken down by Cloud region. Sampled every 60 seconds. After sampling, data is not visible for up to 120 seconds."
gcp.pubsub.subscription.seek_request_count,Seek requests,DELTA,INT64,1,pubsub_subscription,"Cumulative count of seek attempts, grouped by result. Sampled every 60 seconds. After sampling, data is not visible for up to 240 seconds."
