metric_name,metric_display,metric_kind,metric_type,metric_ unit,metric_resource,metric_description
gcp.managedidentities.microsoft_ad.domain.health,AD Domain Health,GAUGE,BOOL,(blank),microsoft_ad_domain,"Overall health status for Active Directory domain. True if healthy, else false. Sampled every 60 seconds. After sampling, data is not visible for up to 195 seconds."
gcp.managedidentities.microsoft_ad.domain.ldaps.cert_ttl,LDAPS Certificate TTL,GAUGE,INT64,d,microsoft_ad_domain,"Number of days until certificate with the closest expiry in the chain used for LDAPS expires. Will be 0 if certificate has expired. Sampled every 60 seconds. After sampling, data is not visible for up to 165 seconds."
gcp.managedidentities.microsoft_ad.domain.trust.state,AD Domain Trust Health,GAUGE,BOOL,(blank),microsoft_ad_domain,"Detailed state for Active Directory trust between source and target domain. True if connected, else false. Sampled every 60 seconds. After sampling, data is not visible for up to 165 seconds."
