metric_name,metric_display,metric_kind,metric_type,metric_ unit,metric_resource,metric_description
gcp.firestore.api.request_count,Requests,DELTA,INT64,1,datastore_request,"Count of Firestore API calls. Sampled every 60 seconds. After sampling, data is not visible for up to 240 seconds."
gcp.firestore.document.delete_count,Document Deletes,DELTA,INT64,1,firestore_instance,"The number of successful document deletes. Sampled every 60 seconds. After sampling, data is not visible for up to 240 seconds."
gcp.firestore.document.read_count,Document Reads,DELTA,INT64,1,firestore_instance,"The number of successful document reads from queries or lookups. Sampled every 60 seconds. After sampling, data is not visible for up to 240 seconds."
gcp.firestore.document.write_count,Document Writes,DELTA,INT64,1,firestore_instance,"The number of successful document writes. Sampled every 60 seconds. After sampling, data is not visible for up to 240 seconds."
gcp.firestore.network.active_connections,Connected Clients,GAUGE,INT64,1,firestore_instance,"The number of active connections. Each mobile client will have one connection. Each listener in admin SDK will be one connection. Sampled every 60 seconds. After sampling, data is not visible for up to 240 seconds."
gcp.firestore.network.snapshot_listeners,Snapshot Listeners,GAUGE,INT64,1,firestore_instance,"The number of snapshot listeners currently registered across all connected clients. Sampled every 60 seconds. After sampling, data is not visible for up to 240 seconds."
gcp.firestore.rules.evaluation_count,Rule Evaluations,DELTA,INT64,1,firestore_instance,"The number of Cloud Firestore Security Rule evaluations performed in response to write (create, update, delete) or read (get, list) requests. Sampled every 60 seconds. After sampling, data is not visible for up to 240 seconds."
